"Reference";"Qty";"Value";"DNP";"Exclude from BOM";"Exclude from Board";"Footprint";"Datasheet"
"BZ1";"1";"ABI-033-RC";"";"";"";"My_Footprints:ABI-033-RC";"~"
"D1,D2,D3";"3";"MMSZ4684-TP";"";"";"";"Diode_SMD:D_SOD-123";"~"
"H1,H2";"2";"MountingHole";"";"Excluded from BOM";"";"MountingHole:MountingHole_3.2mm_M3";"~"
"J10";"1";"Conn_01x09";"";"";"";"Connector_JST:JST_ZH_B9B-ZR_1x09_P1.50mm_Vertical";"~"
"JP1,JP2";"2";"SolderJumper_2_Open";"";"Excluded from BOM";"";"Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";"~"
"Q2";"1";"MMBT6427";"";"";"";"Package_TO_SOT_SMD:SOT-23";"https://assets.nexperia.com/documents/data-sheet/MMBT2222A.pdf"
"R1";"1";"1K";"";"";"";"Resistor_SMD:R_0805_2012Metric";"~"
"R2";"1";"10K";"";"";"";"Resistor_SMD:R_0805_2012Metric";"~"
"R5,R6";"2";"4.7K";"";"";"";"Resistor_SMD:R_0805_2012Metric";"~"
"U1";"1";"LTV-827S";"";"";"";"Package_DIP:SMDIP-8_W9.53mm";"http://www.us.liteon.com/downloads/LTV-817-827-847.PDF"
